trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_lon,is_fraud
2024-09-25 12:36:44,1409********5506,fraud_merchant_1,grocery_net,210.13,User0,Name0,M,90 Main St,City_87,TX,81482,35.947721667489645,-92.2630997534685,777246,Job_29,1966-04-05,txn_1727248004_0,1727248004,35.030894823671275,-92.38724693374127,1
2024-10-31 10:04:58,1520********1488,fraud_merchant_6,kids_pets,300.56,User1,Name1,M,204 Main St,City_4,IL,83563,38.15842563101478,-93.46513054169418,534903,Job_28,1970-06-08,txn_1730349298_1,1730349298,37.68895124507983,-92.92257049810821,1
2024-04-16 06:05:51,7873********4611,fraud_merchant_8,food_dining,442.76,User2,Name2,F,715 Main St,City_98,TX,30926,37.924756240692034,-91.92257006477081,853749,Job_76,1972-06-23,txn_1713227751_2,1713227751,35.48565042563601,-91.31912883973268,1
2024-06-02 05:08:43,5552********3547,fraud_merchant_5,personal_care,382.01,User3,Name3,M,368 Main St,City_49,TX,22676,34.497912063828444,-95.32773423298954,112175,Job_98,1975-02-05,txn_1717285123_3,1717285123,33.02158237067384,-93.84075327494234,1
2024-11-27 11:41:39,5333********1711,fraud_merchant_9,gas_transport,244.88,User4,Name4,F,301 Main St,City_11,FL,82357,35.24443833044536,-96.0308713241849,972096,Job_69,1965-08-07,txn_1732687899_4,1732687899,34.64418448033945,-95.08343150313826,1
2024-07-13 23:16:04,6925********4150,fraud_merchant_9,grocery_net,213.13,User5,Name5,M,888 Main St,City_11,CA,40512,36.55838526903001,-97.20219551269966,243968,Job_6,1989-08-30,txn_1720892764_5,1720892764,37.68861346292705,-96.82907659797024,1
2024-03-15 01:13:06,5554********8428,fraud_merchant_6,entertainment,320.02,User6,Name6,F,719 Main St,City_86,NY,44993,36.64508982420638,-97.44168729994205,377528,Job_21,1976-08-09,txn_1710445386_6,1710445386,36.85395341921114,-99.40135742382182,1
2024-09-15 12:13:55,3803********9751,fraud_merchant_1,grocery_net,210.22,User7,Name7,M,225 Main St,City_82,CA,83000,36.47693315999082,-94.65726343762006,402887,Job_21,1980-09-25,txn_1726382635_7,1726382635,36.36128487760258,-94.95836713320935,1
2024-10-18 12:57:51,1916********4752,fraud_merchant_5,grocery_net,268.78,User8,Name8,M,898 Main St,City_28,TX,84341,39.68149266820609,-92.85802962596526,285746,Job_41,1977-12-29,txn_1729236471_8,1729236471,39.77790914723635,-92.43892752036761,1
2024-05-07 08:12:28,4483********9179,fraud_merchant_5,food_dining,207.59,User9,Name9,F,763 Main St,City_18,CA,42325,36.16424558942608,-93.22450308081329,154811,Job_83,1980-07-31,txn_1715049748_9,1715049748,37.05857791953484,-92.46950528356855,1
2024-07-04 12:37:24,5304********8019,fraud_merchant_8,travel,330.39,User10,Name10,F,774 Main St,City_64,IL,21915,36.32456902723813,-94.51775567482574,150051,Job_47,1969-11-02,txn_1720076844_10,1720076844,36.15636393913904,-93.35298702932121,1
2024-03-23 12:35:44,3504********3621,fraud_merchant_1,grocery_pos,203.28,User11,Name11,F,542 Main St,City_77,FL,71348,32.787330051987944,-97.39241324816135,408457,Job_77,1962-11-06,txn_1711177544_11,1711177544,33.59985587438214,-96.03617321959052,1
2024-08-06 17:41:46,1188********2876,fraud_merchant_8,shopping_net,241.19,User12,Name12,F,162 Main St,City_38,TX,66985,35.65369044794003,-95.16223790831738,361699,Job_99,1988-10-01,txn_1722946306_12,1722946306,36.12148520120318,-94.42611555764812,1
2024-03-21 00:42:30,5315********9201,fraud_merchant_0,health_fitness,273.69,User13,Name13,M,624 Main St,City_82,CA,76540,41.744592507253344,-96.84078161013475,116579,Job_65,2000-12-08,txn_1710961950_13,1710961950,41.34595411723814,-96.9016456976095,1
2024-11-10 14:42:20,7126********3646,fraud_merchant_2,misc_pos,211.26,User14,Name14,M,900 Main St,City_15,TX,57576,34.880365472676665,-93.07765246716329,517340,Job_77,1974-07-16,txn_1731229940_14,1731229940,36.67464631568525,-92.49696292543327,1
2024-11-20 01:24:52,4923********1949,fraud_merchant_4,home,214.34,User15,Name15,M,785 Main St,City_9,FL,79822,37.95578808948303,-96.0365404365473,94814,Job_73,1963-07-14,txn_1732046092_15,1732046092,37.14729448658984,-96.53829748013183,1
2024-01-01 12:06:25,8787********3705,fraud_merchant_2,shopping_pos,248.96,User16,Name16,F,774 Main St,City_28,FL,80686,33.77935596530533,-95.63233179361954,641059,Job_68,1999-02-18,txn_1704090985_16,1704090985,32.296931718446416,-95.86117930985856,1
2024-05-01 15:54:59,6107********7537,fraud_merchant_3,food_dining,311.54,User17,Name17,F,231 Main St,City_16,FL,42493,37.74372426709955,-94.64889341209033,547717,Job_57,2000-05-09,txn_1714559099_17,1714559099,37.434435720654974,-93.97576790931636,1
2024-02-03 15:36:00,1344********4770,fraud_merchant_5,entertainment,215.88,User18,Name18,M,928 Main St,City_30,TX,18834,32.30122005353398,-97.03814557073613,747225,Job_1,1963-03-09,txn_1706954760_18,1706954760,32.42823229290578,-98.28758929353606,1
2024-01-23 14:48:29,2160********9423,fraud_merchant_5,grocery_pos,212.56,User19,Name19,M,741 Main St,City_70,NY,27342,34.31457096694646,-96.60455453844324,513993,Job_36,1990-01-03,txn_1706001509_19,1706001509,34.15328525528045,-96.2005036816287,1
2024-06-06 08:44:15,8744********4981,fraud_merchant_9,kids_pets,240.83,User20,Name20,F,363 Main St,City_85,TX,66498,33.674523373243574,-95.29294561348323,103907,Job_53,1968-07-16,txn_1717643655_20,1717643655,32.82850635678787,-96.1154349822633,1
2024-02-19 07:13:42,8651********1887,fraud_merchant_6,personal_care,234.38,User21,Name21,M,197 Main St,City_14,CA,42591,32.854936331128684,-96.98517235880638,768587,Job_8,1978-01-22,txn_1708307022_21,1708307022,32.957284013678354,-97.41778163935439,1
2024-05-13 04:11:45,8350********3296,fraud_merchant_8,misc_pos,226.47,User22,Name22,F,828 Main St,City_10,NY,68082,34.839825329295024,-95.48276026328843,490100,Job_24,1972-06-29,txn_1715553705_22,1715553705,36.27334081658495,-94.41696655473912,1
